Date,Open,High,Low,Close,Volume
07/11/2025,"74.43","74.81","71.30","72.71","78,539,611"
07/03/2025,"78.40","79.09","73.78","75.18","83,381,492"
06/27/2025,"72.99","81.12","69.18","77.16","137,983,128"
06/20/2025,"68.52","77.65","68.04","73.51","146,388,450"
06/13/2025,"69.39","70.24","66.97","67.19","39,907,900"
